STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyWindDirection,HourlyWindSpeed
USW00014763,2024;04;01;00,SOD,,,,,
USW00014763,2024;04;01;00,FM-15,343,33,75,260,6
USW00014763,2024;04;01;01,FM-15,343,33,75,0,0
USW00014763,2024;04;01;02,FM-15,343,30,82,0,0
USW00014763,2024;04;01;03,FM-15,343,32,75,0,0
USW00014763,2024;04;01;04,FM-15,343,32,82,0,0
USW00014763,2024;04;01;05,FM-15,343,32,82,0,0
USW00014763,2024;04;01;06,FM-15,343,34,79,0,0
USW00014763,2024;04;01;07,FM-15,343,36,73,0,0
USW00014763,2024;04;01;08,FM-15,343,38,68,0,0
USW00014763,2024;04;01;09,FM-15,343,41,62,0,0
USW00014763,2024;04;01;10,FM-15,343,44,55,0,0
USW00014763,2024;04;01;11,FM-15,343,46,51,0,0
USW00014763,2024;04;01;12,FM-15,343,51,43,VRB,6
USW00014763,2024;04;01;13,FM-15,343,52,43,0,0
USW00014763,2024;04;01;14,FM-15,343,53,43,320,5
USW00014763,2024;04;01;15,FM-15,343,54,45,270,7
USW00014763,2024;04;01;16,FM-15,343,54,45,330,5
USW00014763,2024;04;01;17,FM-15,343,51,50,280,5
USW00014763,2024;04;01;18,FM-15,343,46,61,0,0
USW00014763,2024;04;01;19,FM-15,343,41,70,250,3
USW00014763,2024;04;01;20,FM-15,343,39,73,0,0
USW00014763,2024;04;01;21,FM-15,343,37,79,0,0
USW00014763,2024;04;01;22,FM-15,343,36,82,210,3
USW00014763,2024;04;01;23,FM-15,343,32,88,80,3
USW00014763,2024;04;02;00,SOD,,,,,
USW00014763,2024;04;02;00,FM-15,343,33,89,0,0
USW00014763,2024;04;02;01,FM-15,343,33,89,0,0
USW00014763,2024;04;02;02,FM-15,343,35,85,0,0
USW00014763,2024;04;02;03,FM-15,343,38,73,0,0
USW00014763,2024;04;02;04,FM-15,343,38,70,0,0
USW00014763,2024;04;02;05,FM-15,343,38,70,0,0
USW00014763,2024;04;02;06,FM-15,343,40,63,110,3
USW00014763,2024;04;02;07,FM-15,343,42,58,VRB,6
USW00014763,2024;04;02;08,FM-15,343,43,58,VRB,8
USW00014763,2024;04;02;09,FM-15,343,44,55,80,10
USW00014763,2024;04;02;10,FM-15,343,47,52,70,9
USW00014763,2024;04;02;11,FM-15,343,47,52,70,9
USW00014763,2024;04;02;12,FM-15,343,46,58,VRB,7
USW00014763,2024;04;02;13,FM-15,343,45,61,80,8
USW00014763,2024;04;02;14,FM-16,343,42,76,100,8
USW00014763,2024;04;02;14,FM-15,343,42,76,110,6
USW00014763,2024;04;02;15,FM-16,343,41,86,VRB,6
USW00014763,2024;04;02;15,FM-15,343,42,82,60,9
USW00014763,2024;04;02;16,FM-16,343,42,82,VRB,6
USW00014763,2024;04;02;16,FM-15,343,41,82,VRB,8
USW00014763,2024;04;02;17,FM-15,343,40,86,100,8
USW00014763,2024;04;02;18,FM-15,343,40,86,,
USW00014763,2024;04;02;19,FM-16,343,39,89,80,9
USW00014763,2024;04;02;19,FM-15,343,39,89,VRB,7
USW00014763,2024;04;02;20,FM-16,343,38,89,70,7
USW00014763,2024;04;02;20,FM-16,343,38,89,VRB,7
USW00014763,2024;04;02;20,FM-16,343,38,89,80,7
USW00014763,2024;04;02;20,FM-15,343,38,89,90,8
USW00014763,2024;04;02;21,FM-15,343,37,89,60,6
USW00014763,2024;04;02;22,FM-16,343,37,89,70,6
USW00014763,2024;04;02;22,FM-15,343,37,93,60,7
USW00014763,2024;04;02;23,FM-16,343,37,93,70,7
USW00014763,2024;04;02;23,FM-15,343,38,89,70,7
USW00014763,2024;04;03;00,SOD,,,,,
USW00014763,2024;04;03;00,FM-16,343,38,89,70,7
USW00014763,2024;04;03;00,FM-15,343,38,89,80,8
USW00014763,2024;04;03;01,FM-15,343,38,89,80,8
USW00014763,2024;04;03;02,FM-15,343,38,89,100,9
USW00014763,2024;04;03;03,FM-15,343,38,89,100,13
USW00014763,2024;04;03;04,FM-16,343,38,79,VRB,10
USW00014763,2024;04;03;04,FM-16,343,37,75,100,9
USW00014763,2024;04;03;04,FM-15,343,38,73,VRB,10
USW00014763,2024;04;03;05,FM-16,343,38,73,90,7
USW00014763,2024;04;03;05,FM-15,343,36,79,80,7
USW00014763,2024;04;03;06,FM-15,343,35,78,VRB,11
USW00014763,2024;04;03;07,FM-15,343,35,78,VRB,9
USW00014763,2024;04;03;08,FM-15,343,35,78,110,14
USW00014763,2024;04;03;09,FM-15,343,35,82,VRB,10
USW00014763,2024;04;03;10,FM-16,343,35,78,VRB,13
USW00014763,2024;04;03;10,FM-16,343,35,78,100,11
USW00014763,2024;04;03;10,FM-15,343,35,82,100,14
USW00014763,2024;04;03;11,FM-16,343,36,79,90,10
USW00014763,2024;04;03;11,FM-16,343,36,81,90,13
USW00014763,2024;04;03;11,FM-15,343,36,79,VRB,15
USW00014763,2024;04;03;12,FM-16,343,36,81,VRB,13
USW00014763,2024;04;03;12,FM-15,343,36,82,VRB,15
USW00014763,2024;04;03;13,FM-15,343,37,79,VRB,15
USW00014763,2024;04;03;14,FM-15,343,36,79,VRB,16
USW00014763,2024;04;03;15,FM-15,343,35,82,80,22
USW00014763,2024;04;03;16,FM-16,343,35,82,90,14
USW00014763,2024;04;03;16,FM-16,343,34,85,VRB,17
USW00014763,2024;04;03;16,FM-16,343,36,81,90,15
USW00014763,2024;04;03;16,FM-15,343,34,89,80,15
USW00014763,2024;04;03;17,FM-16,343,35,82,100,20
USW00014763,2024;04;03;17,FM-16,343,35,82,80,11
USW00014763,2024;04;03;17,FM-16,343,34,85,80,15
USW00014763,2024;04;03;17,FM-15,343,34,85,80,18
USW00014763,2024;04;03;17,FM-16,343,34,85,80,20
USW00014763,2024;04;03;18,FM-16,343,34,87,80,17
USW00014763,2024;04;03;18,FM-15,343,34,85,VRB,9
USW00014763,2024;04;03;19,FM-16,343,34,85,80,11
USW00014763,2024;04;03;19,FM-16,343,34,85,60,15
USW00014763,2024;04;03;19,FM-16,343,34,85,80,10
USW00014763,2024;04;03;19,FM-15,343,34,85,70,13
USW00014763,2024;04;03;20,FM-16,343,34,85,70,11
USW00014763,2024;04;03;20,FM-15,343,34,85,70,11
USW00014763,2024;04;03;21,FM-15,343,34,85,70,17
USW00014763,2024;04;03;22,FM-15,343,34,82,60,20
USW00014763,2024;04;03;23,FM-16,343,34,85,VRB,17
USW00014763,2024;04;03;23,FM-16,343,34,87,60,17
USW00014763,2024;04;03;23,FM-15,343,33,89,60,20
USW00014763,2024;04;04;00,SOD,,,,,
USW00014763,2024;04;04;00,FM-16,343,33,89,50,17
USW00014763,2024;04;04;00,FM-16,343,33,89,60,18
USW00014763,2024;04;04;00,FM-16,343,33,85,60,23
USW00014763,2024;04;04;00,FM-15,343,33,85,60,18
USW00014763,2024;04;04;01,FM-16,343,33,85,50,20
USW00014763,2024;04;04;01,FM-16,343,33,85,60,14
