"STATION","DATE","REPORT_TYPE","SOURCE","HourlyDryBulbTemperature","HourlyRelativeHumidity","HourlyWindDirection","HourlyWindSpeed"
"USW00014763","2024-04-01T00:00:00","SOD",,,,,
"USW00014763","2024-04-01T00:54:00","FM-15","343","33","75","260","6"
"USW00014763","2024-04-01T01:54:00","FM-15","343","33","75","000","0"
"USW00014763","2024-04-01T02:54:00","FM-15","343","30","82","000","0"
"USW00014763","2024-04-01T03:54:00","FM-15","343","32","75","000","0"
"USW00014763","2024-04-01T04:54:00","FM-15","343","32","82","000","0"
"USW00014763","2024-04-01T05:54:00","FM-15","343","32","82","000","0"
"USW00014763","2024-04-01T06:54:00","FM-15","343","34","79","000","0"
"USW00014763","2024-04-01T07:54:00","FM-15","343","36","73","000","0"
"USW00014763","2024-04-01T08:54:00","FM-15","343","38","68","000","0"
"USW00014763","2024-04-01T09:54:00","FM-15","343","41","62","000","0"
"USW00014763","2024-04-01T10:54:00","FM-15","343","44","55","000","0"
"USW00014763","2024-04-01T11:54:00","FM-15","343","46","51","000","0"
"USW00014763","2024-04-01T12:54:00","FM-15","343","51","43","VRB","6"
"USW00014763","2024-04-01T13:54:00","FM-15","343","52","43","000","0"
"USW00014763","2024-04-01T14:54:00","FM-15","343","53","43","320","5"
"USW00014763","2024-04-01T15:54:00","FM-15","343","54","45","270","7"
"USW00014763","2024-04-01T16:54:00","FM-15","343","54","45","330","5"
"USW00014763","2024-04-01T17:54:00","FM-15","343","51","50","280","5"
"USW00014763","2024-04-01T18:54:00","FM-15","343","46","61","000","0"
"USW00014763","2024-04-01T19:54:00","FM-15","343","41","70","250","3"
"USW00014763","2024-04-01T20:54:00","FM-15","343","39","73","000","0"
"USW00014763","2024-04-01T21:54:00","FM-15","343","37","79","000","0"
"USW00014763","2024-04-01T22:54:00","FM-15","343","36","82","210","3"
"USW00014763","2024-04-01T23:54:00","FM-15","343","32","88","080","3"
"USW00014763","2024-04-02T00:00:00","SOD",,,,,
"USW00014763","2024-04-02T00:54:00","FM-15","343","33","89","000","0"
"USW00014763","2024-04-02T01:54:00","FM-15","343","33","89","000","0"
"USW00014763","2024-04-02T02:54:00","FM-15","343","35","85","000","0"
"USW00014763","2024-04-02T03:54:00","FM-15","343","38","73","000","0"
"USW00014763","2024-04-02T04:54:00","FM-15","343","38","70","000","0"
"USW00014763","2024-04-02T05:54:00","FM-15","343","38","70","000","0"
"USW00014763","2024-04-02T06:54:00","FM-15","343","40","63","110","3"
"USW00014763","2024-04-02T07:54:00","FM-15","343","42","58","VRB","6"
"USW00014763","2024-04-02T08:54:00","FM-15","343","43","58","VRB","8"
"USW00014763","2024-04-02T09:54:00","FM-15","343","44","55","080","10"
"USW00014763","2024-04-02T10:54:00","FM-15","343","47","52","070","9"
"USW00014763","2024-04-02T11:54:00","FM-15","343","47","52","070","9"
"USW00014763","2024-04-02T12:54:00","FM-15","343","46","58","VRB","7"
"USW00014763","2024-04-02T13:54:00","FM-15","343","45","61","080","8"
"USW00014763","2024-04-02T14:46:00","FM-16","343","42","76","100","8"
"USW00014763","2024-04-02T14:54:00","FM-15","343","42","76","110","6"
"USW00014763","2024-04-02T15:32:00","FM-16","343","41","86","VRB","6"
"USW00014763","2024-04-02T15:54:00","FM-15","343","42","82","060","9"
"USW00014763","2024-04-02T16:19:00","FM-16","343","42","82","VRB","6"
"USW00014763","2024-04-02T16:54:00","FM-15","343","41","82","VRB","8"
"USW00014763","2024-04-02T17:54:00","FM-15","343","40","86","100","8"
"USW00014763","2024-04-02T18:54:00","FM-15","343","40","86",,
"USW00014763","2024-04-02T19:24:00","FM-16","343","39","89","080","9"
"USW00014763","2024-04-02T19:54:00","FM-15","343","39","89","VRB","7"
"USW00014763","2024-04-02T20:12:00","FM-16","343","38","89","070","7"
"USW00014763","2024-04-02T20:27:00","FM-16","343","38","89","VRB","7"
"USW00014763","2024-04-02T20:38:00","FM-16","343","38","89","080","7"
"USW00014763","2024-04-02T20:54:00","FM-15","343","38","89","090","8"
"USW00014763","2024-04-02T21:54:00","FM-15","343","37","89","060","6"
"USW00014763","2024-04-02T22:17:00","FM-16","343","37","89","070","6"
"USW00014763","2024-04-02T22:54:00","FM-15","343","37","93","060","7"
"USW00014763","2024-04-02T23:09:00","FM-16","343","37","93","070","7"
"USW00014763","2024-04-02T23:54:00","FM-15","343","38","89","070","7"
"USW00014763","2024-04-03T00:00:00","SOD",,,,,
"USW00014763","2024-04-03T00:13:00","FM-16","343","38","89","070","7"
"USW00014763","2024-04-03T00:54:00","FM-15","343","38","89","080","8"
"USW00014763","2024-04-03T01:54:00","FM-15","343","38","89","080","8"
"USW00014763","2024-04-03T02:54:00","FM-15","343","38","89","100","9"
"USW00014763","2024-04-03T03:54:00","FM-15","343","38","89","100","13"
"USW00014763","2024-04-03T04:45:00","FM-16","343","38","79","VRB","10"
"USW00014763","2024-04-03T04:52:00","FM-16","343","37","75","100","9"
"USW00014763","2024-04-03T04:54:00","FM-15","343","38","73","VRB","10"
"USW00014763","2024-04-03T05:04:00","FM-16","343","38","73","090","7"
"USW00014763","2024-04-03T05:54:00","FM-15","343","36","79","080","7"
"USW00014763","2024-04-03T06:54:00","FM-15","343","35","78","VRB","11"
"USW00014763","2024-04-03T07:54:00","FM-15","343","35","78","VRB","9"
"USW00014763","2024-04-03T08:54:00","FM-15","343","35","78","110","14"
"USW00014763","2024-04-03T09:54:00","FM-15","343","35","82","VRB","10"
"USW00014763","2024-04-03T10:21:00","FM-16","343","35","78","VRB","13"
"USW00014763","2024-04-03T10:30:00","FM-16","343","35","78","100","11"
"USW00014763","2024-04-03T10:54:00","FM-15","343","35","82","100","14"
"USW00014763","2024-04-03T11:36:00","FM-16","343","36","79","090","10"
"USW00014763","2024-04-03T11:52:00","FM-16","343","36","81","090","13"
"USW00014763","2024-04-03T11:54:00","FM-15","343","36","79","VRB","15"
"USW00014763","2024-04-03T12:52:00","FM-16","343","36","81","VRB","13"
"USW00014763","2024-04-03T12:54:00","FM-15","343","36","82","VRB","15"
