state,peakername,peakerid,date,hour,grossload_mw,steamload_1000lbsperhr,so2mass_lbs,co2mass_shorttons,noxmass_lbs,heatinput_mmbtu,operating,year,month,day,datetime,season,timeofday,weekday_num
MA,Pittsfield Generating,50002,4/1/2024,0,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;00,Spring,Late Night,1
MA,Pittsfield Generating,50002,4/1/2024,1,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;01,Spring,Late Night,1
MA,Pittsfield Generating,50002,4/1/2024,2,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;02,Spring,Late Night,1
MA,Pittsfield Generating,50002,4/1/2024,3,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;03,Spring,Late Night,1
MA,Pittsfield Generating,50002,4/1/2024,4,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;04,Spring,Early Morning,1
MA,Pittsfield Generating,50002,4/1/2024,5,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;05,Spring,Early Morning,1
MA,Pittsfield Generating,50002,4/1/2024,6,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;06,Spring,Early Morning,1
MA,Pittsfield Generating,50002,4/1/2024,7,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;07,Spring,Early Morning,1
MA,Pittsfield Generating,50002,4/1/2024,8,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;08,Spring,Morning,1
MA,Pittsfield Generating,50002,4/1/2024,9,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;09,Spring,Morning,1
MA,Pittsfield Generating,50002,4/1/2024,10,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;10,Spring,Morning,1
MA,Pittsfield Generating,50002,4/1/2024,11,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;11,Spring,Morning,1
MA,Pittsfield Generating,50002,4/1/2024,12,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;12,Spring,Afternoon,1
MA,Pittsfield Generating,50002,4/1/2024,13,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;13,Spring,Afternoon,1
MA,Pittsfield Generating,50002,4/1/2024,14,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;14,Spring,Afternoon,1
MA,Pittsfield Generating,50002,4/1/2024,15,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;15,Spring,Afternoon,1
MA,Pittsfield Generating,50002,4/1/2024,16,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;16,Spring,Evening,1
MA,Pittsfield Generating,50002,4/1/2024,17,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;17,Spring,Evening,1
MA,Pittsfield Generating,50002,4/1/2024,18,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;18,Spring,Evening,1
MA,Pittsfield Generating,50002,4/1/2024,19,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;19,Spring,Evening,1
MA,Pittsfield Generating,50002,4/1/2024,20,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;20,Spring,Night,1
MA,Pittsfield Generating,50002,4/1/2024,21,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;21,Spring,Night,1
MA,Pittsfield Generating,50002,4/1/2024,22,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;22,Spring,Night,1
MA,Pittsfield Generating,50002,4/1/2024,23,NA,NA,NA,NA,NA,NA,0,2024,4,1,2024;04;01;23,Spring,Night,1
MA,Pittsfield Generating,50002,4/2/2024,0,NA,NA,NA,NA,NA,NA,0,2024,4,2,2024;04;02;00,Spring,Late Night,1
MA,Pittsfield Generating,50002,4/2/2024,1,NA,NA,NA,NA,NA,NA,0,2024,4,2,2024;04;02;01,Spring,Late Night,1
MA,Pittsfield Generating,50002,4/2/2024,2,NA,NA,NA,NA,NA,NA,0,2024,4,2,2024;04;02;02,Spring,Late Night,1
