datasourceId,sourceId,sourceType,StartOfPeriod,endOfPeriod,locationLatitude,locationLongitude,no2Conc1HourMean.qcAssessment,no2Conc1HourMean.status,no2Conc1HourMean.value,pm10ConcMass1HourMean.qcAssessment,pm10ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.qcAssessment,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.46803,-73.20072,valid,calibrated-ready,11.36,valid,4.74,valid,calibrated-ready,3.09
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.42506,-73.22515,valid,calibrated-ready,14.8,valid,47.01,valid,calibrated-ready,9.19
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.42689,-73.28892,valid,calibrated-ready,12.03,valid,11.82,valid,calibrated-ready,3.37
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.45855,-73.22086,valid,calibrated-ready,18.52,valid,7.43,valid,calibrated-ready,3.36
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.42171656,-73.20349336,valid,calibrated-ready,13.81,valid,8.9,valid,calibrated-ready,3.25
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.45301464,-73.26174029,valid,calibrated-ready,21.23,valid,8.58,valid,calibrated-ready,3.43
DSHNM8883,AF9TLJ9M,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.45658,-73.2441,valid,calibrated-ready,15.47,valid,10.37,valid,calibrated-ready,3.68
DXXHJ4229,A3F7VX67,CLARITY_NODE,2024;04;01;05,2024;04;01;06,42.44963,-73.25216,valid,calibrated-ready,16.38,valid,6.8,valid,calibrated-ready,3.33
DARSM2019,AF64TV9R,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.45179,-73.25484,valid,calibrated-ready,14.59,valid,6.91,valid,calibrated-ready,3.93
DBGKL8516,AGK79VTM,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.46803,-73.20072,valid,calibrated-ready,11.8,valid,4.71,valid,calibrated-ready,2.96
DDTAU0510,AK639KKR,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.42506,-73.22515,valid,calibrated-ready,14.68,valid,7.86,valid,calibrated-ready,2.94
DJFKW1483,ANWQJL6T,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.42689,-73.28892,valid,calibrated-ready,12.54,valid,14.95,valid,calibrated-ready,3.14
DKWAZ4010,AKR3XP4V,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.45855,-73.22086,valid,calibrated-ready,21.43,valid,9.42,valid,calibrated-ready,3.65
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.42171656,-73.20349336,valid,calibrated-ready,14.36,valid,5.43,valid,calibrated-ready,2.67
DMTLY7351,AXGPYFJ7,CLARITY_NODE,2024;04;01;06,2024;04;01;07,42.45301464,-73.26174029,valid,calibrated-ready,26.62,valid,13.55,valid,calibrated-ready,3.81
