"datasourceID","name","name_full","notes","longitude","latitude","distancepeaker","distanceairport","distancemajroads","bearing_deg","bearing_rad","sin_bearing","cos_bearing"
"DARSM2019","Pittsfield Fire Department","Pittsfield Fire Department @ 74 Columbus Avenue, Pittsfield MA 01201","",-73.25484,42.45179,3065.19873597634,4178.30374815617,2.62894789029078,260.395413196513,4.54475731737024,-0.985982683268507,-0.166847679919843
"DBGKL8516","Flow Station","Flow Station @ 694 Merrill Road, Pittsfield MA 01201","",-73.20072,42.46803,1926.70564787621,8806.09477648821,81.850570735371,47.8885366517829,0.835812638535594,0.741841691747435,0.670575054997801
"DDTAU0510","Pump Station (Sackett Brook)","Pump Station on Sackett Brook @ 233 East New Lenox Road","Removed 11/20/24",-73.22515,42.42506,3529.20372246673,5407.9489793699,989.266375004583,189.462018945291,3.3067360380712,-0.164393766385886,-0.986394793971188
"DJFKW1483","Pittsfield Municipal Airport","Pittsfield Municipal Airport - National Weather Station @ 832 Tamarack Road, Pittsfield MA 01201","",-73.28892,42.42689,6685.35834487818,240.194890642914,531.668677570918,240.662542855755,4.20035375905488,-0.871749152077893,-0.489952462848667
"DKWAZ4010","Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694
"DLWGJ5363","Residential House (Glory Dr.)","Residential house @ 75 Glory Drive","",-73.20349336,42.42171656,4035.68874693225,7201.17903618549,897.846793345245,162.670207369951,2.83913071350759,0.297871289884413,-0.954606041601768
"DMTLY7351","Habitat for Humanity","Central Berkshire Habitat for Humanity @ 314 Colombus Avenue, Pittsfield MA 01201","",-73.26174029,42.45301464,3609.32723114823,3903.16607236941,79.5292941627422,264.034427264486,4.60827009438277,-0.994584523757071,-0.103930866940101
"DSHNM8883","Morningside Community School","Morningside Community School @ 800 Burbank Street, Pittsfield MA 01201","",-73.2441,42.45658,2138.69433791534,5185.86563533028,85.864540130772,270.544431371708,4.72189110037214,-0.999954855197552,0.00950197699657855
"DXXHJ4229","Pittsfield City Hall","Pittsfield City Hall @ 70 Allen Street, Pittsfield MA 01201","",-73.25216,42.44963,2900.88876538701,4178.35593788349,39.5069811712397,254.986934339497,4.45036155379081,-0.965866780391594,-0.25903930693232
"DYJIY3756","Residential House (Lenox Ave.)","Residential house @ 172 Lenox Avenue","Installed 12/10/24",-73.24792415,42.46656678,2700.43850962336,5789.15315028107,70.5397504316749,294.730996199233,5.14402629135951,-0.908281984468331,0.418358502591103
