"","datasourceId","sourceId","sourceType","StartOfPeriod","endOfPeriod","locationLatitude","locationLongitude","no2Conc1HourMean.qcAssessment","no2Conc1HourMean.status","no2Conc1HourMean.value","pm10ConcMass1HourMean.qcAssessment","pm10ConcMass1HourMean.raw","pm2_5ConcMass1HourMean.qcAssessment","pm2_5ConcMass1HourMean.status","pm2_5ConcMass1HourMean.value","name","name_full","notes","longitude","latitude","distancepeaker","distanceairport","distancemajroads","bearing_deg","bearing_rad","sin_bearing","cos_bearing","state","peakername","peakerid","date","hour","grossload_mw","steamload_1000lbsperhr","so2mass_lbs","co2mass_shorttons","noxmass_lbs","heatinput_mmbtu","operating","year","month","day","season","timeofday","weekday_num","STATION","REPORT_TYPE","SOURCE","HourlyDryBulbTemperature","HourlyRelativeHumidity","HourlyWindDirection","HourlyWindSpeed","fireworks","smoke","operating_f","datetime"
"1","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;00","2024;06;01;01",42.45855,-73.22086,"valid","calibrated-ready",5.01,"valid",4.46,"valid","calibrated-ready",4.31,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,0,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Late Night",0,"USW00014763","FM-15",343,53,61,"VRB","3","0","0","Not operating",2024-06-01
"2","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;01","2024;06;01;02",42.45855,-73.22086,"valid","calibrated-ready",5.36,"valid",5.99,"valid","calibrated-ready",4.53,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,1,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Late Night",0,"USW00014763","FM-15",343,48,77,"130","5","0","0","Not operating",2024-06-01 01:00:00
"3","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;02","2024;06;01;03",42.45855,-73.22086,"valid","calibrated-ready",25.93,"valid",7.97,"valid","calibrated-ready",4.88,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,2,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Late Night",0,"USW00014763","FM-15",343,51,69,"230","5","0","0","Not operating",2024-06-01 02:00:00
"4","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;03","2024;06;01;04",42.45855,-73.22086,"valid","calibrated-ready",41.22,"valid",12.81,"valid","calibrated-ready",5.75,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,3,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Late Night",0,"USW00014763","FM-15",343,55,57,"270","3","0","0","Not operating",2024-06-01 03:00:00
"5","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;04","2024;06;01;05",42.45855,-73.22086,"valid","calibrated-ready",51.79,"valid",14.54,"valid","calibrated-ready",6.21,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,4,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Early Morning",0,"USW00014763","FM-15",343,55,57,"VRB","6","0","0","Not operating",2024-06-01 04:00:00
"6","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;05","2024;06;01;06",42.45855,-73.22086,"valid","calibrated-ready",51.39,"valid",16.77,"valid","calibrated-ready",6.26,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,5,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Early Morning",0,"USW00014763","FM-15",343,57,60,"280","7","0","0","Not operating",2024-06-01 05:00:00
"7","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;06","2024;06;01;07",42.45855,-73.22086,"valid","calibrated-ready",58.23,"valid",17.26,"valid","calibrated-ready",6.11,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,6,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Early Morning",0,"USW00014763","FM-15",343,60,53,"300","8","0","0","Not operating",2024-06-01 06:00:00
"8","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;07","2024;06;01;08",42.45855,-73.22086,"valid","calibrated-ready",53.41,"valid",14.53,"valid","calibrated-ready",5.15,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,7,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Early Morning",0,"USW00014763","FM-15",343,63,52,"320","7","0","0","Not operating",2024-06-01 07:00:00
"9","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;08","2024;06;01;09",42.45855,-73.22086,"valid","calibrated-ready",53.13,"valid",11.66,"valid","calibrated-ready",4.62,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,8,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Morning",0,"USW00014763","FM-15",343,65,51,"270","9","0","0","Not operating",2024-06-01 08:00:00
"10","DKWAZ4010","AKR3XP4V","CLARITY_NODE","2024;06;01;09","2024;06;01;10",42.45855,-73.22086,"valid","calibrated-ready",50.93,"valid",10.87,"valid","calibrated-ready",4.46,"Allendale Elementary School","Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201","",-73.22086,42.45855,329.502769803532,6843.30376678749,200.34767848836,316.452385982614,5.52313606118856,-0.688957139542839,0.724802083242694,"MA","Pittsfield Generating",50002,2024-06-01,9,NA,NA,NA,NA,NA,NA,0,"2024",6,1,"Summer","Morning",0,"USW00014763","FM-15",343,68,49,"250","9","0","0","Not operating",2024-06-01 09:00:00
