"","week","operating","fireworks2","smoke2","temp","humidity","windspeed","year","no2mean"
"1","1","Not operating",0,0,67.0476190476191,67.1190476190476,NA,"2024",22.0917250497224
"2","2","Not operating",0,0,61.7168674698795,72.3734939759036,NA,"2024",16.8738617290858
"3","2","Operating",0,0,74,69,2.5,"2024",26.1977477217622
"4","3","Not operating",0,0,68,72.9765625,3.078125,"2024",22.8623309186985
"5","3","Operating",0,0,82.375,64.225,NA,"2024",24.9060083445548
"6","4","Not operating",0,0,69.0063291139241,68.4113924050633,NA,"2024",18.5193747719037
"7","4","Operating",0,0,78.625,49.875,6.75,"2024",16.7091912140543
"8","5","Not operating",1,0,69.3035714285714,72.3511904761905,5.16071428571429,"2024",20.4989203926316
"9","6","Not operating",1,0,73.2745098039216,82.843137254902,3.81372549019608,"2024",26.3072490314439
"10","6","Operating",1,0,81,63.3333333333333,NA,"2024",22.6545057191056
"11","7","Not operating",0,0,70.3168316831683,73,4.72277227722772,"2024",20.5189174688606
"12","7","Operating",0,0,76.8955223880597,73,4.98507462686567,"2024",23.9261389008929
"13","8","Not operating",0,0,69.5476190476191,77.0059523809524,NA,"2024",21.1602085526923
"14","9","Not operating",0,0,69.9338235294118,81.1397058823529,NA,"2024",22.691995021254
"15","9","Operating",0,0,77.28125,73.53125,2.71875,"2024",22.6693016630622
"16","10","Not operating",0,0,NA,NA,NA,"2024",21.0201391872856
"17","10","Operating",0,0,76.8333333333333,74.3055555555556,3.91666666666667,"2024",21.2445516784633
"18","11","Not operating",0,1,NA,NA,NA,"2024",17.1894982018767
"19","12","Not operating",0,0,NA,NA,NA,"2024",16.8739201638812
"20","13","Not operating",0,0,65.3241758241758,78.2967032967033,NA,"2024",19.0049947154147
"21","13","Operating",0,0,76.5,72.2,7.2,"2024",25.5355033197105
"22","53","Not operating",0,1,61.1119402985075,70.0149253731343,4.88059701492537,"2025",18.086752216645
"23","53","Operating",0,1,80.8,56.2,4.9,"2025",23.0817450174812
"24","54","Not operating",0,0,64.0238095238095,75.4226190476191,NA,"2025",20.0321353870497
"25","55","Not operating",0,0,61.8148148148148,82.287037037037,NA,"2025",18.5244465034329
"26","55","Operating",0,0,NA,NA,NA,"2025",23.4702045771968
"27","56","Not operating",0,0,62.1481481481481,66.8148148148148,NA,"2025",17.3043826081249
"28","56","Operating",0,0,75.8085106382979,71.5248226950355,NA,"2025",25.6045711339827
"29","57","Not operating",1,0,66.7647058823529,72.3823529411765,6.27941176470588,"2025",20.2710400635342
"30","57","Operating",0,0,72.93,71.88,5.49,"2025",24.4967079862572
"31","58","Not operating",1,0,66.4848484848485,73.4848484848485,2.06060606060606,"2025",22.0815130286306
"32","58","Operating",1,0,NA,NA,NA,"2025",36.9220347018529
"33","59","Operating",0,0,NA,NA,NA,"2025",24.6749201771756
"34","60","Not operating",0,0,62.8266666666667,75.4,3.45333333333333,"2025",18.9510936903794
"35","60","Operating",0,0,74.4301075268817,68.6344086021505,NA,"2025",25.0164076176681
"36","61","Not operating",0,0,57.8666666666667,90.7333333333333,3.13333333333333,"2025",17.8438129920784
"37","61","Operating",0,1,71.3815789473684,76.3421052631579,NA,"2025",25.5380339814467
"38","62","Not operating",0,1,61.53,84.42,NA,"2025",22.0235470668967
"39","62","Operating",0,1,71.7352941176471,69.5441176470588,3.51470588235294,"2025",21.8601450975613
"40","63","Not operating",0,0,65,74.7142857142857,NA,"2025",21.1197778295481
"41","63","Operating",0,0,71.2857142857143,74.538961038961,NA,"2025",25.8269836443507
"42","64","Not operating",0,0,63.135593220339,73.5677966101695,4.09322033898305,"2025",20.8921805588461
"43","64","Operating",0,0,63.52,75.14,NA,"2025",21.2762150485474
"44","65","Not operating",0,0,NA,NA,NA,"2025",19.8450688780187
"45","65","Operating",0,0,73,58,7.5,"2025",25.6044113866068
