datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure24HourMean.productFamily,atmPressure24HourMean.qcAssessment,atmPressure24HourMean.raw,atmPressure24HourMean.reportedAccessoryId,atmPressure24HourMean.status,atmPressure24HourMean.value,bcAllSources24HourMean.productFamily,bcAllSources24HourMean.qcAssessment,bcAllSources24HourMean.raw,bcAllSources24HourMean.reportedAccessoryId,bcAllSources24HourMean.status,bcAllSources24HourMean.value,bcBiomass24HourMean.productFamily,bcBiomass24HourMean.qcAssessment,bcBiomass24HourMean.raw,bcBiomass24HourMean.reportedAccessoryId,bcBiomass24HourMean.status,bcBiomass24HourMean.value,bcFossilFuel24HourMean.productFamily,bcFossilFuel24HourMean.qcAssessment,bcFossilFuel24HourMean.raw,bcFossilFuel24HourMean.reportedAccessoryId,bcFossilFuel24HourMean.status,bcFossilFuel24HourMean.value,co2Conc24HourMean.productFamily,co2Conc24HourMean.qcAssessment,co2Conc24HourMean.raw,co2Conc24HourMean.reportedAccessoryId,co2Conc24HourMean.status,co2Conc24HourMean.value,coConc24HourMean.productFamily,coConc24HourMean.qcAssessment,coConc24HourMean.raw,coConc24HourMean.reportedAccessoryId,coConc24HourMean.status,coConc24HourMean.value,no2Conc24HourMean.productFamily,no2Conc24HourMean.qcAssessment,no2Conc24HourMean.raw,no2Conc24HourMean.reportedAccessoryId,no2Conc24HourMean.status,no2Conc24HourMean.value,noConc24HourMean.productFamily,noConc24HourMean.qcAssessment,noConc24HourMean.raw,noConc24HourMean.reportedAccessoryId,noConc24HourMean.status,noConc24HourMean.value,noxConc24HourMean.productFamily,noxConc24HourMean.qcAssessment,noxConc24HourMean.raw,noxConc24HourMean.reportedAccessoryId,noxConc24HourMean.status,noxConc24HourMean.value,o3Conc24HourMean.productFamily,o3Conc24HourMean.qcAssessment,o3Conc24HourMean.raw,o3Conc24HourMean.reportedAccessoryId,o3Conc24HourMean.status,o3Conc24HourMean.value,pm10ConcMass24HourMean.productFamily,pm10ConcMass24HourMean.qcAssessment,pm10ConcMass24HourMean.raw,pm10ConcMass24HourMean.reportedAccessoryId,pm10ConcMass24HourMean.status,pm10ConcMass24HourMean.value,pm10ConcMass24HourMeanUsEpaAqi.productFamily,pm10ConcMass24HourMeanUsEpaAqi.qcAssessment,pm10ConcMass24HourMeanUsEpaAqi.raw,pm10ConcMass24HourMeanUsEpaAqi.reportedAccessoryId,pm10ConcMass24HourMeanUsEpaAqi.status,pm10ConcMass24HourMeanUsEpaAqi.value,pm10ConcNum24HourMean.productFamily,pm10ConcNum24HourMean.qcAssessment,pm10ConcNum24HourMean.raw,pm10ConcNum24HourMean.reportedAccessoryId,pm10ConcNum24HourMean.status,pm10ConcNum24HourMean.value,pm1ConcMass24HourMean.productFamily,pm1ConcMass24HourMean.qcAssessment,pm1ConcMass24HourMean.raw,pm1ConcMass24HourMean.reportedAccessoryId,pm1ConcMass24HourMean.status,pm1ConcMass24HourMean.value,pm1ConcNum24HourMean.productFamily,pm1ConcNum24HourMean.qcAssessment,pm1ConcNum24HourMean.raw,pm1ConcNum24HourMean.reportedAccessoryId,pm1ConcNum24HourMean.status,pm1ConcNum24HourMean.value,pm2_5ConcMass24HourMean.productFamily,pm2_5ConcMass24HourMean.qcAssessment,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.reportedAccessoryId,pm2_5ConcMass24HourMean.status,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.productFamily,pm2_5ConcMass24HourMeanUsEpaAqi.qcAssessment,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.reportedAccessoryId,pm2_5ConcMass24HourMeanUsEpaAqi.status,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.productFamily,pm2_5ConcNum24HourMean.qcAssessment,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.reportedAccessoryId,pm2_5ConcNum24HourMean.status,pm2_5ConcNum24HourMean.value,relHumidAmbient24HourMean.productFamily,relHumidAmbient24HourMean.qcAssessment,relHumidAmbient24HourMean.raw,relHumidAmbient24HourMean.reportedAccessoryId,relHumidAmbient24HourMean.status,relHumidAmbient24HourMean.value,relHumidInternal24HourMean.productFamily,relHumidInternal24HourMean.qcAssessment,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.reportedAccessoryId,relHumidInternal24HourMean.status,relHumidInternal24HourMean.value,temperatureAmbient24HourMean.productFamily,temperatureAmbient24HourMean.qcAssessment,temperatureAmbient24HourMean.raw,temperatureAmbient24HourMean.reportedAccessoryId,temperatureAmbient24HourMean.status,temperatureAmbient24HourMean.value,temperatureInternal24HourMean.productFamily,temperatureInternal24HourMean.qcAssessment,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.reportedAccessoryId,temperatureInternal24HourMean.status,temperatureInternal24HourMean.value,tspConcMass24HourMean.productFamily,tspConcMass24HourMean.qcAssessment,tspConcMass24HourMean.raw,tspConcMass24HourMean.reportedAccessoryId,tspConcMass24HourMean.status,tspConcMass24HourMean.value,windDirection24HourMean.productFamily,windDirection24HourMean.qcAssessment,windDirection24HourMean.raw,windDirection24HourMean.reportedAccessoryId,windDirection24HourMean.status,windDirection24HourMean.value,windSpeed24HourMean.productFamily,windSpeed24HourMean.qcAssessment,windSpeed24HourMean.raw,windSpeed24HourMean.reportedAccessoryId,windSpeed24HourMean.status,windSpeed24HourMean.value
DARSM2019,AF64TV9R,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.45179,-73.25484,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,3.05,,calibrated-ready,14.58,node,,,,,,node,,,,,,ozone,,,,,,node,valid,13.75,,calibration-missing,,node,valid,12,,calibration-missing,,node,valid,13.02,,sensor-ready,13.02,node,valid,7.51,,calibration-missing,,node,valid,12.48,,sensor-ready,12.48,node,valid,12.45,,calibrated-ready,5.65,node,valid,57,,calibrated-ready,31,node,valid,12.93,,sensor-ready,12.93,wind,,,,,,node,valid,59.73,,sensor-ready,59.73,wind,,,,,,node,valid,7.52,,sensor-ready,7.52,node,,,,,,wind,,,,,,wind,,,,,
DBGKL8516,AGK79VTM,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.46803,-73.20072,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,9.17,,calibrated-ready,11.73,node,,,,,,node,,,,,,ozone,,,,,,node,valid,12.72,,calibration-missing,,node,valid,11,,calibration-missing,,node,valid,10.07,,sensor-ready,10.07,node,valid,6.73,,calibration-missing,,node,valid,9.65,,sensor-ready,9.65,node,valid,11.34,,calibrated-ready,4.69,node,valid,55,,calibrated-ready,26,node,valid,10,,sensor-ready,10,wind,,,,,,node,valid,64.76,,sensor-ready,64.76,wind,,,,,,node,valid,6.34,,sensor-ready,6.34,node,,,,,,wind,,,,,,wind,,,,,
DDTAU0510,AK639KKR,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.42506,-73.22515,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,19.4,,calibrated-ready,12.78,node,,,,,,node,,,,,,ozone,,,,,,node,valid,9.99,,calibration-missing,,node,valid,8,,calibration-missing,,node,valid,7.15,,sensor-ready,7.15,node,valid,4.46,,calibration-missing,,node,valid,6.83,,sensor-ready,6.83,node,valid,7.05,,calibrated-ready,3.77,node,valid,39,,calibrated-ready,21,node,valid,7.09,,sensor-ready,7.09,wind,,,,,,node,valid,68.17,,sensor-ready,68.17,wind,,,,,,node,valid,5.57,,sensor-ready,5.57,node,,,,,,wind,,,,,,wind,,,,,
DJFKW1483,ANWQJL6T,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.42689,-73.28892,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,13.17,,calibrated-ready,12.8,node,,,,,,node,,,,,,ozone,,,,,,node,valid,19.39,,calibration-missing,,node,valid,18,,calibration-missing,,node,valid,10.04,,sensor-ready,10.04,node,valid,6.5,,calibration-missing,,node,valid,9.64,,sensor-ready,9.64,node,valid,9.75,,calibrated-ready,4.48,node,valid,52,,calibrated-ready,24,node,valid,9.94,,sensor-ready,9.94,wind,,,,,,node,valid,72.67,,sensor-ready,72.67,wind,,,,,,node,valid,4.68,,sensor-ready,4.68,node,,,,,,wind,,,,,,wind,,,,,
DKWAZ4010,AKR3XP4V,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.45855,-73.22086,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,8.96,,calibrated-ready,13.68,node,,,,,,node,,,,,,ozone,,,,,,node,valid,13.06,,calibration-missing,,node,valid,12,,calibration-missing,,node,valid,9.45,,sensor-ready,9.45,node,valid,6.03,,calibration-missing,,node,valid,9.02,,sensor-ready,9.02,node,valid,9.47,,calibrated-ready,4.6,node,valid,52,,calibrated-ready,26,node,valid,9.38,,sensor-ready,9.38,wind,,,,,,node,valid,61.19,,sensor-ready,61.19,wind,,,,,,node,valid,7.07,,sensor-ready,7.07,node,,,,,,wind,,,,,,wind,,,,,
DLWGJ5363,AFVGL7MJ,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.42171656,-73.20349336,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,9.81,,calibrated-ready,14.63,node,,,,,,node,,,,,,ozone,,,,,,node,valid,12.09,,calibration-missing,,node,valid,11,,calibration-missing,,node,valid,10.39,,sensor-ready,10.39,node,valid,6.39,,calibration-missing,,node,valid,9.97,,sensor-ready,9.97,node,valid,10.72,,calibrated-ready,4.7,node,valid,54,,calibrated-ready,26,node,valid,10.32,,sensor-ready,10.32,wind,,,,,,node,valid,68.2,,sensor-ready,68.2,wind,,,,,,node,valid,4.91,,sensor-ready,4.91,node,,,,,,wind,,,,,,wind,,,,,
DMTLY7351,AXGPYFJ7,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.45301464,-73.26174029,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,13.37,,calibrated-ready,19.91,node,,,,,,node,,,,,,ozone,,,,,,node,valid,17.77,,calibration-missing,,node,valid,16,,calibration-missing,,node,valid,12.14,,sensor-ready,12.14,node,valid,8.44,,calibration-missing,,node,valid,11.62,,sensor-ready,11.62,node,valid,12.62,,calibrated-ready,5.21,node,valid,58,,calibrated-ready,29,node,valid,12.05,,sensor-ready,12.05,wind,,,,,,node,valid,67.47,,sensor-ready,67.47,wind,,,,,,node,valid,5.47,,sensor-ready,5.47,node,,,,,,wind,,,,,,wind,,,,,
DSHNM8883,AF9TLJ9M,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.45658,-73.2441,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,13.53,,calibrated-ready,13.09,node,,,,,,node,,,,,,ozone,,,,,,node,valid,17.55,,calibration-missing,,node,valid,16,,calibration-missing,,node,valid,10.77,,sensor-ready,10.77,node,valid,7.25,,calibration-missing,,node,valid,10.28,,sensor-ready,10.28,node,valid,11.47,,calibrated-ready,4.96,node,valid,55,,calibrated-ready,27,node,valid,10.66,,sensor-ready,10.66,wind,,,,,,node,valid,61.35,,sensor-ready,61.35,wind,,,,,,node,valid,7.08,,sensor-ready,7.08,node,,,,,,wind,,,,,,wind,,,,,
DXXHJ4229,A3F7VX67,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.44963,-73.25216,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,8.22,,calibrated-ready,18.87,node,,,,,,node,,,,,,ozone,,,,,,node,valid,15,,calibration-missing,,node,valid,14,,calibration-missing,,node,valid,11.39,,sensor-ready,11.39,node,valid,6.52,,calibration-missing,,node,valid,10.83,,sensor-ready,10.83,node,valid,12.31,,calibrated-ready,5.11,node,valid,57,,calibrated-ready,28,node,valid,11.27,,sensor-ready,11.27,wind,,,,,,node,valid,62.58,,sensor-ready,62.58,wind,,,,,,node,valid,6.74,,sensor-ready,6.74,node,,,,,,wind,,,,,,wind,,,,,
DYYDT1778,AHPXW4TJ,CLARITY_NODE,day,2024-04-02T00:00:00.000+00:00,2024-04-03T00:00:00.000+00:00,42.120165,-72.585155,wind,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,blackcarbon,,,,,,node,,,,,,node,,,,,,node,valid,15.89,,calibrated-ready,18.15,node,,,,,,node,,,,,,ozone,,,,,,node,valid,11.67,,calibration-missing,,node,valid,10,,calibration-missing,,node,valid,8.77,,sensor-ready,8.77,node,valid,5.23,,calibration-missing,,node,valid,8.35,,sensor-ready,8.35,node,valid,9.53,,calibrated-ready,4.46,node,valid,52,,calibrated-ready,24,node,valid,8.69,,sensor-ready,8.69,wind,,,,,,node,valid,58.75,,sensor-ready,58.75,wind,,,,,,node,valid,8.86,,sensor-ready,8.86,node,,,,,,wind,,,,,,wind,,,,,
