"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2024-04-01",0,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",1,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",2,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",3,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",4,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",5,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",6,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",7,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",8,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",9,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",10,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",11,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",12,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",13,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",14,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",15,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",16,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",17,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",18,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",19,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",20,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",21,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",22,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-01",23,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-02",0,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-02",1,,,,,,
"MA","Pittsfield Generating",50002,"2024-04-02",2,,,,,,
