datasourceID,name,latitude,longitude,name_full,notes
DARSM2019,Pittsfield Fire Department,42.45179,-73.25484,"Pittsfield Fire Department @ 74 Columbus Avenue, Pittsfield MA 01201",
DBGKL8516,Flow Station ,42.46803,-73.20072,"Flow Station @ 694 Merrill Road, Pittsfield MA 01201",
DDTAU0510,Pump Station (Sackett Brook),42.42506,-73.22515,Pump Station on Sackett Brook @ 233 East New Lenox Road,Removed 11/20/24
DJFKW1483,Pittsfield Municipal Airport,42.42689,-73.28892,"Pittsfield Municipal Airport - National Weather Station @ 832 Tamarack Road, Pittsfield MA 01201",
DKWAZ4010,Allendale Elementary School,42.45855,-73.22086,"Allendale Elementary School @ 180 Connecticut Avenue, Pittsfield MA 01201",
DLWGJ5363,Residential House (Glory Dr.),42.42171656,-73.20349336,Residential house @ 75 Glory Drive,
DMTLY7351,Habitat for Humanity,42.45301464,-73.26174029,"Central Berkshire Habitat for Humanity @ 314 Colombus Avenue, Pittsfield MA 01201",
DSHNM8883,Morningside Community School,42.45658,-73.2441,"Morningside Community School @ 800 Burbank Street, Pittsfield MA 01201",
DXXHJ4229,Pittsfield City Hall,42.44963,-73.25216,"Pittsfield City Hall @ 70 Allen Street, Pittsfield MA 01201",
DYJIY3756,Residential House (Lenox Ave.),42.46656678,-73.24792415,Residential house @ 172 Lenox Avenue,Installed 12/10/24
